,ALDER,KOMGRP,TID,INDHOLD
130,15-19 år,Fredensborg,2024,2627
131,15-19 år,Frederikssund,2024,2923
132,15-19 år,Furesø,2024,2872
133,15-19 år,Gribskov,2024,2425
134,15-19 år,Halsnæs,2024,1763
135,15-19 år,Helsingør,2024,3991
136,15-19 år,Hillerød,2024,3576
137,15-19 år,Hørsholm,2024,1711
138,15-19 år,Rudersdal,2024,4154
139,15-19 år,Bornholm,2024,2029
140,15-19 år,Christiansø,2024,6
141,15-19 år,Greve,2024,3414
142,15-19 år,Køge,2024,3990
143,15-19 år,Lejre,2024,1931
144,15-19 år,Roskilde,2024,6202
145,15-19 år,Solrød,2024,1649
146,15-19 år,Faxe,2024,2333
147,15-19 år,Guldborgsund,2024,3173
148,15-19 år,Holbæk,2024,4859
149,15-19 år,Kalundborg,2024,2908
150,15-19 år,Lolland,2024,1967
151,15-19 år,Næstved,2024,5315
152,15-19 år,Odsherred,2024,1687
153,15-19 år,Ringsted,2024,2219
154,15-19 år,Slagelse,2024,4696
155,15-19 år,Sorø,2024,1959
156,15-19 år,Stevns,2024,1366
157,15-19 år,Vordingborg,2024,2545
158,15-19 år,Assens,2024,2507
159,15-19 år,Faaborg-Midtfyn,2024,3259
160,15-19 år,Kerteminde,2024,1351
161,15-19 år,Langeland,2024,521
162,15-19 år,Middelfart,2024,2586
163,15-19 år,Nordfyns,2024,1866
164,15-19 år,Nyborg,2024,2167
165,15-19 år,Odense,2024,11806
166,15-19 år,Svendborg,2024,3748
167,15-19 år,Ærø,2024,307
168,15-19 år,Billund,2024,1693
169,15-19 år,Esbjerg,2024,6811
170,15-19 år,Fanø,2024,192
171,15-19 år,Fredericia,2024,3104
172,15-19 år,Haderslev,2024,3558
173,15-19 år,Kolding,2024,6314
174,15-19 år,Sønderborg,2024,4841
175,15-19 år,Tønder,2024,2156
176,15-19 år,Varde,2024,3015
177,15-19 år,Vejen,2024,2713
178,15-19 år,Vejle,2024,7720
179,15-19 år,Aabenraa,2024,3724
180,15-19 år,Favrskov,2024,3530
181,15-19 år,Hedensted,2024,3147
182,15-19 år,Horsens,2024,5983
183,15-19 år,Norddjurs,2024,2286
184,15-19 år,Odder,2024,1514
185,15-19 år,Randers,2024,6115
186,15-19 år,Samsø,2024,139
187,15-19 år,Silkeborg,2024,6612
