,mpg,milage,maketype,car_id,region,price,make,type,scrapedate,alder,ccm2,doors,aldercat,navn
671,23.3,17035.0,"Ford Focus 1,0 EcoBoost mHEV ST-Line X 5d",5457685,Østjylland,274900.0,Ford,Focus,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Midtjylland
672,16.9,98000.0,"Toyota Auris 1,6 T2+ Skyview 5d",5550190,Fyn,79900.0,Toyota,Auris,2022-11-08 22:29:38.772658,10,1600.0,5d,veteran,Region Syddanmark
673,16.9,68000.0,"Ford Fiesta 1,6 SCTi 182 ST1 3d",5606842,Syd- og Vestsjælland,169800.0,Ford,Fiesta,2022-11-08 22:29:38.772658,8,1600.0,3d,veteran,Region Sjælland
674,13.3,103000.0,"Volvo V60 1,6 T4 180 Summum aut. 5d",5404525,Vestjylland,184800.0,Volvo,V60,2022-11-08 22:29:38.772658,10,1600.0,5d,veteran,Region Syddanmark
675,19.6,135000.0,"Ford Focus 1,0 SCTi 125 Edition stc. ECO 5d",5522564,Syd- og Sønderjylland,109900.0,Ford,Focus,2022-11-08 22:29:38.772658,8,1000.0,5d,veteran,Region Syddanmark
676,10.8,102000.0,"Ford Mustang 3,7 GT Cabriolet aut. 2d",5580323,København,469800.0,Ford,Mustang,2022-11-08 22:29:38.772658,7,3700.0,2d,veteran,Region Hovedstaden
677,10.2,75000.0,"Ford Mustang 2,3 EcoBoost Fastback aut. 2d",5565097,København,454800.0,Ford,Mustang,2022-11-08 22:29:38.772658,5,2300.0,2d,veteran,Region Hovedstaden
678,22.2,93849.0,"Ford Fiesta 1,0 SCTi 140 Black Edition 3d",5498274,Syd- og Vestsjælland,129900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,6,1000.0,3d,veteran,Region Sjælland
679,14.9,75000.0,"Ford Mondeo 1,5 EcoBoost Titanium aut. 5d",5534443,Vestjylland,234900.0,Ford,Mondeo,2022-11-08 22:29:38.772658,4,1500.0,5d,veteran,Region Syddanmark
680,23.3,73000.0,"Ford Fiesta 1,0 65 Trend 5d",5609742,København,74900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,8,1000.0,5d,veteran,Region Hovedstaden
681,22.4,200.0,"Ford Focus 1,0 EcoBoost Connected 5d",5418560,Vestjylland,248000.0,Ford,Focus,2022-11-08 22:29:38.772658,0,1000.0,5d,veteran,Region Syddanmark
682,15.4,142000.0,"Ford Mondeo 1,5 SCTi 160 Titanium stc. aut. 5d",5534391,Østjylland,179900.0,Ford,Mondeo,2022-11-08 22:29:38.772658,7,1500.0,5d,veteran,Region Midtjylland
683,14.3,161000.0,"Volvo C30 1,6  3d",5549983,København,49900.0,Volvo,C30,2022-11-08 22:29:38.772658,15,1600.0,3d,veteran,Region Hovedstaden
684,18.3,115000.0,"Ford Fiesta 1,5 EcoBoost ST2 3d",5580232,Østjylland,219900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,4,1500.0,3d,veteran,Region Midtjylland
685,14.5,222500.0,"Toyota Verso 1,8 TX 7prs 5d",5587598,Syd- og Vestsjælland,79900.0,Toyota,Verso,2022-11-08 22:29:38.772658,12,1800.0,5d,veteran,Region Sjælland
686,23.7,5000.0,"Ford Fiesta 1,0 EcoBoost mHEV Titanium 5d",5522501,København,179900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Hovedstaden
687,15.3,32000.0,"Ford Kuga 1,5 SCTi 150 ST-Line 5d",5580185,Østjylland,279500.0,Ford,Kuga,2022-11-08 22:29:38.772658,3,1500.0,5d,veteran,Region Midtjylland
